Open,High,Low,Close,Volume
3.78,3.96,3.715,3.782,2000
4.053,4.061,3.86,4.061,1500
3.997,3.997,3.65,3.67,3200
3.77,3.77,3.5,3.77,4600
3.954,3.954,3.2,3.3,4700
3.05,3.42,2.67,3.34,290200
3.34,3.8,2.92,3.52,27500
3.24,3.71,3.15,3.31,9900
3.63,3.88,3.26,3.84,15300
3.95,3.95,3.6,3.834,2300
3.827,4.09,3.66,4.09,15900
3.99,3.99,3.65,3.68,4300
3.75,3.93,3.75,3.93,2000
3.92,3.92,3.75,3.82,2300
3.898,3.95,3.55,3.899,3200
3.985,4.09,3.69,3.69,4300
3.97,3.97,3.71,3.71,4100
4.074,4.074,3.92,3.92,1500
4.07,4.07,3.98,3.98,1300
4.034,4.034,3.95,3.95,1200
3.94,3.95,3.66,3.87,8500
3.87,3.92,3.67,3.68,7600
3.87,3.87,3.602,3.602,2600
3.77,3.77,3.57,3.57,12500
3.85,3.85,3.56,3.671,2700
3.81,3.81,3.64,3.72,1500
4.0,4.0,3.87,3.87,1000
3.92,3.92,3.71,3.88,4100
3.92,3.92,3.9,3.9,500
3.95,3.95,3.86,3.86,1600
3.8,3.8,3.6,3.63,3100
3.81,3.88,3.6,3.75,3200
3.9,3.9,3.61,3.78,2200
3.85,3.874,3.655,3.655,1200
3.88,3.88,3.7,3.8,1800
3.9,3.9,3.74,3.74,1200
3.9,3.9,3.01,3.4,18700
3.4,3.644,3.25,3.644,1800
3.49,3.49,3.1,3.1,3000
3.28,3.61,3.28,3.61,2900
3.5,3.5,3.35,3.47,1200
3.5,3.5,3.35,3.35,1000
3.488,3.49,3.31,3.322,2100
3.2,3.2,3.15,3.17,3400
3.28,3.28,3.05,3.13,7900
3.18,3.18,3.0,3.16,11600
3.2,3.2,3.15,3.15,1800
3.24,3.5,3.18,3.452,5300
3.49,3.5,3.479,3.5,4400
3.3,3.64,3.3,3.5,2100
3.5,3.68,3.47,3.68,3200
3.6,3.67,3.351,3.67,1900
3.5,3.6,3.5,3.6,1700
3.66,3.66,3.41,3.66,1600
3.645,3.66,3.602,3.65,1900
3.5,3.6,3.15,3.6,3300
3.5,3.5,3.42,3.45,900
3.5,3.5,3.45,3.47,1300
3.4,3.4,3.35,3.35,800
3.4,3.43,3.0,3.21,14800
3.46,3.46,3.079,3.08,19100
3.0,3.196,2.82,2.82,12000
2.99,3.0,2.355,2.67,23500
2.8,3.0,2.567,3.0,10500
3.02,3.02,2.55,2.683,9600
2.69,2.95,2.66,2.8,7200
2.88,2.88,2.826,2.84,4400
2.83,2.86,2.83,2.85,3800
2.8,2.8,2.68,2.68,6800
2.68,2.8,2.42,2.6,8200
2.46,2.756,2.08,2.48,5800
2.47,2.62,2.18,2.55,2310800
3.99,4.27,2.55,2.79,10743300
2.45,2.73,2.29,2.67,422200
2.41,2.5,2.2,2.2,108300
2.21,2.49,2.05,2.46,137000
2.39,2.59,2.32,2.53,52500
2.42,2.44,2.25,2.25,59800
2.28,2.49,2.08,2.16,82800
2.1,2.2,1.58,1.95,147600
1.8,1.98,1.8,1.93,42100
1.79,1.94,1.69,1.86,72800
1.85,1.89,1.69,1.89,65700
2.0,2.0,1.74,1.96,50300
1.95,1.95,1.8,1.82,42300
1.88,1.88,1.67,1.71,54000
1.73,1.81,1.56,1.76,27800
1.78,1.822,1.57,1.75,126000
1.8,1.8,1.55,1.57,58000
1.718,1.718,1.45,1.6,30000
1.63,1.63,1.5,1.63,38300
1.65,1.65,1.545,1.595,36500
1.62,1.62,1.48,1.5,54400
1.49,1.63,1.458,1.53,24200
1.52,1.54,1.425,1.54,21300
1.588,1.588,1.42,1.48,24900
1.52,1.55,1.387,1.51,18800
1.56,1.56,1.4,1.47,10000
1.52,1.52,1.45,1.48,13100
1.53,1.53,1.39,1.51,19300
