Open,High,Low,Close,Volume
10.12745,10.14092,9.94917,10.07908,466169364
10.10601,10.23941,10.03968,10.23941,356043600
10.34787,10.36732,10.18729,10.20325,305430264
10.33865,10.35311,10.22195,10.28828,277725996
10.28554,10.42268,10.26409,10.40996,326225448
10.39874,10.46581,10.36009,10.44661,264950784
10.45036,10.55084,10.38528,10.53613,241590168
10.6057,10.78423,10.54112,10.72563,652566780
10.77675,11.12608,10.47529,10.58725,876594528
10.66853,10.77675,10.58899,10.71541,402984612
10.81041,10.89294,10.49025,10.63038,448427124
10.76603,10.79321,10.62041,10.77276,301562136
10.7755,10.78423,10.69147,10.74508,183620196
10.76827,10.76827,10.54137,10.58824,267843888
10.58076,10.66654,10.50396,10.63936,284431284
10.67152,10.69023,10.45185,10.47629,277554168
10.40448,10.42792,10.31646,10.34438,303180516
10.53538,10.86327,10.42816,10.8523,524323152
11.06849,11.19465,10.96501,11.1019,610844544
11.12085,11.25923,11.00864,11.2515,431899668
11.39189,11.73175,11.30137,11.61106,709565724
11.62976,11.80406,11.49337,11.64198,511164324
11.58014,11.72551,11.5208,11.71329,363520116
11.75095,11.8467,11.69883,11.75992,359935704
11.81204,11.8437,11.50733,11.56044,404606988
11.5774,11.64173,11.51008,11.62577,305957736
11.54623,11.71679,11.53302,11.64722,330481188
11.15326,11.4041,11.05228,11.09367,818608572
11.24976,11.30761,10.7967,10.88272,580910508
10.93882,10.97199,9.8427,9.96039,1643023332
10.15787,10.68175,10.11673,10.65956,908746344
10.87225,11.09467,10.8336,11.04679,617965416
11.252,11.32606,10.70244,10.7967,748842408
10.95977,10.97099,10.56131,10.82836,516526956
10.84657,10.92685,10.69646,10.80891,337749912
10.70269,10.80368,10.59722,10.6426,343212444
10.73611,10.96127,10.57154,10.78822,881757360
9.70032,10.02372,9.66267,10.01824,1083815100
10.0691,10.13593,9.87362,9.87511,471835692
9.81477,9.82175,9.2899,9.51381,730540728
9.60756,9.72201,9.46419,9.60233,357258384
9.54972,9.56742,9.06,9.17395,664542792
9.18791,9.24302,8.84357,9.20287,831331836
9.25574,9.33553,8.87947,8.9458,476019504
9.02509,9.08868,8.80542,9.04155,608331060
8.64334,8.74208,8.5249,8.6199,787923288
8.61068,8.76926,8.53762,8.56056,585573840
8.50944,8.62738,8.42367,8.53712,517362120
8.61916,9.15101,8.58973,9.13755,851767380
9.22233,9.27918,9.06673,9.19465,572235192
9.13705,9.31408,9.10388,9.14079,347092560
9.15475,9.19963,9.07272,9.11336,258788952
9.11635,9.50608,9.11087,9.42704,501561936
9.40784,9.47691,9.31284,9.41033,259112628
9.50683,9.7669,9.48214,9.73398,408079512
9.8043,9.91251,8.44062,9.0418,1575926496
9.18991,9.2121,9.00889,9.09616,481965552
9.08319,9.50259,9.03132,9.38664,732478788
9.58238,9.65569,9.36944,9.42978,478001520
9.49785,9.55994,9.1545,9.17844,357230412
9.10164,9.18717,8.93034,9.08743,414736848
8.82512,8.97722,8.74059,8.82387,469354176
8.86152,8.93981,8.51518,8.55258,555859584
8.56505,8.58998,8.26708,8.41544,772250976
8.50097,8.62988,8.36432,8.40447,545150304
8.40646,8.78622,8.29376,8.75605,737289972
8.74632,8.78447,8.49099,8.58998,510241248
8.69246,8.69595,8.42541,8.44711,400267332
8.44785,8.52216,8.35136,8.47254,341725932
8.53612,8.72937,8.51618,8.68199,415887696
8.72737,8.76851,8.45484,8.47578,392850756
8.47154,8.58001,8.41544,8.48326,303536160
8.53637,8.62115,8.48276,8.5249,297090612
9.19141,9.22806,9.03906,9.12109,606616776
9.15325,9.26845,9.10114,9.21809,280667052
9.26845,9.4218,9.25499,9.40534,357474168
9.47366,9.94892,9.46294,9.84868,760338900
9.70431,9.81178,9.56517,9.68561,587879532
9.69309,9.77114,9.57565,9.72451,1459395144
9.71279,9.7861,9.67289,9.71703,324583092
9.72202,10.09603,9.67813,10.08207,627999372
10.17832,10.33715,10.04417,10.17308,535883580
10.13568,10.3202,10.10925,10.25262,343596060
10.28329,10.29426,10.07409,10.12745,280754964
10.15039,10.40198,10.10476,10.38228,372431196
10.38328,10.45011,10.12895,10.21472,443843712
10.19827,10.25636,10.10326,10.19702,240439320
10.18904,10.21722,9.98632,10.02771,261853884
10.05988,10.28554,9.9948,10.14391,330049620
10.17159,10.21896,10.01126,10.07958,325178496
10.28728,10.31396,10.14166,10.23567,270996732
10.24838,10.37281,10.17832,10.34787,490369140
11.19316,11.23854,10.87574,10.89893,901149948
10.95628,11.08843,10.88447,10.98371,353102544
10.96201,10.99717,10.62215,10.65108,382377240
10.66554,10.72289,10.56057,10.62141,290820888
10.54511,10.64484,10.45734,10.47329,333182484
10.43839,10.61542,10.38029,10.42118,296555148
10.4344,10.45858,9.9377,9.94642,414033552
10.00078,10.03594,9.68461,9.84419,523647828
