Open,High,Low,Close,Volume
17.32,17.5,17.27,17.3,1312300
17.26,17.42,17.08,17.11,1472300
17.12,17.17,16.8,16.95,1599600
16.95,17.14,16.77,16.79,1726300
16.98,17.09,16.61,16.65,1416200
16.54,17.46,16.5,17.39,2346800
17.24,17.72,17.165,17.32,1415900
17.33,17.44,17.149,17.44,376500
17.32,17.485,17.32,17.47,723400
17.34,17.47,17.105,17.19,914400
16.97,17.45,16.81,17.34,1445900
17.42,17.6,17.26,17.3,997800
17.48,17.64,17.27,17.42,1072800
17.57,17.72,17.263,17.61,1334700
17.78,18.04,17.76,17.84,1525300
