Open,High,Low,Close,Volume
18.9,19.439,18.0,18.8,4233300
68.97,71.55,68.919,69.81,5442100
71.09,71.59,70.16,71.48,4449900
71.42,74.16,70.87,72.45,5841000
77.75,80.25,75.42,77.74,20266800
80.0,80.38,73.52,76.05,10499400
77.05,83.98,76.13,82.44,18576500
85.18,87.93,83.83,87.81,21700100
86.62,90.53,85.22,89.39,14121100
100.31,103.2,93.3,97.95,70853100
97.23,97.8,91.6,93.15,26172000
93.87,94.0,88.61,88.89,21823500
90.0,94.65,89.511,92.77,16002000
95.0,98.43,94.82,97.61,15306300
100.77,101.77,98.62,101.03,16359600
98.4,99.89,93.54,98.56,12515300
99.03,109.29,98.65,109.18,25850700
115.12,130.06,114.86,127.03,43438500
144.0,153.87,141.05,152.74001,73203100
177.66,178.5,130.33,141.00999,125130400
138.63,149.8,128.10001,143.0,51217300
143.5,159.11,143.00999,157.25999,38656500
157.59,157.82001,148.50999,152.52,27704800
155.03,163.98,152.97,159.52,31409800
165.75,170.50999,164.3,169.86,27738700
170.2,170.8,147.2,156.59,40951700
151.13,159.5,148.00999,155.69,22060000
159.7,163.75,155.89,156.92999,22069900
163.39999,163.761,152.561,155.07001,22467700
157.0,157.28,142.46001,147.22,36451300
137.75,141.334,134.31,137.03,28476300
137.92,146.97,137.3,144.0,32404500
141.50999,145.0,135.06,140.23,33157800
140.84,147.25999,137.78999,138.3,23921000
139.0,141.39999,123.0,125.88,36035800
120.05,132.0,115.0,130.34,41905000
125.94,129.7,122.72,123.39,12720600
120.04,122.88,111.05,111.4,31088200
107.796,116.25,106.88,114.39,23718800
118.4,118.941,108.8,111.13,23965500
110.55,113.55,102.66,104.47,23369900
107.23,113.63,103.26,111.73,22439600
113.82,114.98,107.2,109.18,15450800
111.11,116.93,110.28,116.26,21590900
120.1,122.82,112.13,115.09,20614100
116.52,117.71,111.49,112.75,12376900
112.75,121.24,112.62,117.26,16650600
117.93,124.91,117.12,124.55,15276200
123.7,127.58,120.74,124.06,14324600
122.8,130.98,122.8,129.72,13346700
