Open,High,Low,Close,Volume
24.46,24.78,24.37,24.6,756500
24.93,25.46,24.86,25.46,1269800
25.41,25.48,25.23,25.37,784300
25.36,25.65,25.25,25.6,964300
25.6,25.77,25.52,25.55,499700
25.63,26.22,25.63,26.11,867200
26.17,26.95,26.17,26.9,1456700
26.83,27.34,26.82,26.89,913900
26.96,26.97,26.67,26.73,814800
26.73,26.94,26.68,26.76,733800
26.85,27.07,26.6,26.94,882000
26.91,27.09,26.78,26.94,502700
27.06,27.1,26.8,27.0,261900
27.12,27.18,26.92,26.95,486600
27.05,27.35,26.51,27.25,645400
27.36,27.79,27.12,27.48,739600
27.86,27.86,26.95,27.54,1125700
27.67,27.76,27.07,27.49,961600
27.24,27.55,27.15,27.36,1456000
27.37,27.4,26.95,27.07,785500
27.12,27.27,26.92,27.1,845200
27.04,27.1,26.86,26.96,608700
26.97,27.27,26.74,27.01,871900
26.95,27.13,26.54,26.65,567000
26.64,26.99,26.48,26.5,623000
26.69,26.93,26.065,26.17,1223300
26.22,26.44,26.06,26.38,826400
26.3,26.36,25.76,25.77,510400
25.8,26.49,25.8,26.07,836400
25.82,25.9,25.54,25.78,870300
25.52,26.025,25.5,25.94,754800
26.14,26.66,26.0,26.26,1283100
26.26,26.66,26.26,26.57,15829600
26.55,26.89,26.38,26.79,3029700
26.77,27.2,26.4,27.16,2209500
27.19,27.34,26.99,27.2,2189200
27.13,27.48,26.97,27.1,1868200
27.2,27.4,27.06,27.25,1449500
27.37,27.46,27.18,27.27,2759300
27.35,27.46,26.82,26.98,2367100
27.06,27.365,26.68,27.01,929500
27.11,27.12,26.68,26.83,1243700
26.78,27.36,26.75,27.24,958700
27.17,27.55,27.15,27.47,702500
27.5,27.52,27.32,27.5,926800
27.43,27.49,27.13,27.19,1208100
27.48,27.75,26.92,27.2,1635800
27.15,27.18,26.69,26.95,1440500
26.78,27.78,26.78,27.62,1422600
27.62,27.91,27.34,27.63,1164300
