Open,High,Low,Close,Volume
16.1,16.5,14.35,14.88,2508800
15.11,15.59,14.8,15.42,1555700
15.65,16.13,15.02,15.53,1394500
15.56,16.18,15.14,15.88,2042500
15.98,16.23,15.36,16.03,2311800
16.06,17.34,15.97,17.09,3077200
17.34,17.59,15.89,15.92,3590700
16.23,18.46,16.2,16.4,8290900
16.45,17.04,16.06,16.71,3162200
16.73,17.31,16.69,17.05,3053900
17.46,17.95,17.19,17.66,5239600
17.77,18.0,17.35,17.78,5834500
17.71,18.42,17.617,17.9,5866800
18.14,18.39,17.75,18.07,24387400
18.24,18.48,17.56,17.83,4847400
17.83,17.99,17.25,17.82,5213300
17.71,17.71,17.1,17.18,3044600
17.41,17.51,16.145,16.34,4448900
16.29,16.54,15.675,15.9,2305200
15.79,16.27,15.67,15.92,1532200
15.87,16.06,14.8,14.81,1544900
14.78,15.01,14.42,14.86,1783300
15.24,15.24,14.41,15.07,1464200
15.05,15.57,14.89,15.51,1021400
15.45,15.63,15.07,15.47,1373900
15.36,15.48,15.01,15.31,1226200
15.33,15.55,14.18,14.2,2386100
14.13,14.41,13.87,14.16,1343300
14.24,14.7,13.99,14.055,934900
14.19,14.27,13.67,13.93,954300
13.93,14.45,13.53,14.33,1153500
14.27,14.32,14.02,14.15,914100
14.23,14.72,14.15,14.54,1033900
14.5,14.85,14.07,14.81,1596400
14.9,15.59,14.66,15.5,930900
15.56,16.09,15.55,15.92,588500
16.16,17.01,16.09,16.9,1512000
16.92,17.03,16.05,16.59,1112100
16.73,17.1,16.43,17.01,737000
17.01,17.15,16.809,17.03,652400
16.96,17.155,16.66,16.99,751700
16.95,17.24,16.52,17.14,958700
17.03,17.15,16.49,16.75,1007300
16.8,16.894,15.52,15.66,1600600
15.9,16.8,15.83,16.8,1330000
16.94,17.72,16.71,16.89,1741300
16.83,17.49,16.05,16.13,1575400
16.33,17.608,16.28,17.5,2043600
17.25,17.5,17.11,17.49,973600
17.33,17.52,17.2,17.4,941900
17.34,18.1,17.303,17.99,1978300
18.0,18.5,17.71,18.25,2014800
18.16,18.5,17.91,18.34,1532500
18.39,19.43,18.35,19.37,1880000
19.21,19.45,18.67,19.45,920600
19.27,19.87,19.082,19.36,1144700
19.38,20.4,19.35,20.18,2316500
19.98,20.32,19.69,20.2,1202500
20.07,20.73,19.86,20.69,1443300
20.9,21.0,19.95,20.0,1926900
20.037,20.65,19.82,20.33,1549400
20.28,20.7,19.99,20.37,1561200
20.6,20.93,20.28,20.36,1186700
20.3,20.54,19.6,19.76,1184000
19.48,21.37,19.41,21.28,1795200
21.0,21.47,20.933,21.27,1980100
21.49,21.5,20.57,20.64,1478100
20.78,21.04,18.82,18.94,3537200
19.07,19.3,18.67,18.78,2814000
18.78,19.09,18.58,18.87,1619800
19.03,19.11,18.53,18.65,1233100
18.56,19.045,18.32,18.45,1313400
18.47,18.72,18.32,18.62,1302400
18.6,18.97,18.22,18.52,1785500
18.54,18.7,18.31,18.44,1647800
18.48,19.0,18.48,18.64,1277700
18.58,19.67,18.5,19.41,2101700
19.4,20.0,19.05,19.83,10931400
19.79,19.85,19.34,19.7,1789700
19.69,19.79,19.35,19.75,488900
19.82,20.11,19.66,19.86,750300
19.99,20.0,19.25,19.52,1046900
19.54,19.94,18.94,19.05,1183300
18.96,19.64,18.96,19.56,1112400
19.57,19.81,18.88,19.23,1233600
19.02,19.36,18.72,18.89,1751000
18.7,18.74,18.01,18.13,1606500
18.15,18.32,17.68,17.78,1461400
17.99,18.08,17.76,17.98,1041600
18.0,18.55,17.9,18.4,1495700
21.0,21.0,19.05,19.14,4504700
19.26,20.36,18.6,20.26,2207500
20.45,20.498,19.55,20.0,1782800
19.94,20.58,19.94,20.24,2055000
21.68,21.87,20.77,21.01,4918400
21.5,21.5,20.55,20.62,3348400
20.79,21.49,20.645,20.94,2089600
22.08,23.2,21.7,21.97,10920700
22.17,22.65,21.4,21.47,3663900
21.6,21.879,20.9,21.12,2947800
