Open,High,Low,Close,Volume
19.26,19.855,19.07,19.46,35129000
19.51,19.825,19.03,19.82,28425900
19.95,20.15,19.04,19.21,30354700
19.28,19.58,18.7,18.94,27594500
18.8,19.075,18.17,18.4,38376000
18.0,18.859,17.91,18.64,38864800
18.37,18.94,17.995,18.86,39361900
18.96,19.12,18.15,18.34,33950000
18.03,19.1,17.81,19.06,44495200
18.59,18.67,17.835,17.96,42265900
18.16,18.98,18.1,18.9,33878600
18.65,19.45,18.65,18.88,33894200
18.85,19.135,18.72,18.93,24758300
18.78,19.25,18.78,18.94,21782000
18.89,19.07,18.44,18.57,20518800
18.53,18.6,17.91,18.17,28217500
18.1,18.995,18.07,18.69,29285200
18.61,18.92,18.21,18.21,23556000
18.36,18.569,17.86,18.53,34283600
18.61,18.84,17.79,18.17,39643200
18.03,18.568,16.87,16.96,58445900
16.87,17.18,16.055,16.74,49737100
16.7,17.33,16.475,16.56,37989300
16.19,16.57,15.35,16.5,77649400
16.4,17.25,16.32,16.89,47442600
17.16,17.46,16.4,16.72,39784200
16.8,16.82,15.94,16.01,35492200
15.94,16.249,15.62,16.01,35624900
15.45,15.75,14.92,14.97,49067700
14.9,15.25,14.54,14.56,48049100
14.89,15.55,14.57,14.62,44690400
14.25,14.478,13.5,13.53,73031300
12.79,13.41,11.75,13.4,110518900
13.12,13.6,12.83,13.06,47456600
13.6,13.82,12.68,12.75,69949700
13.01,13.06,12.2,12.28,52622900
12.3,12.88,11.89,12.71,54887500
12.77,13.74,12.76,13.71,51039300
14.23,14.37,13.56,14.2,69012900
14.09,14.2,13.19,13.32,47204300
12.95,13.32,12.42,12.45,47236900
12.47,13.09,12.265,12.94,38989200
13.025,13.6,12.94,12.98,45646100
12.75,13.189,12.62,13.15,30317100
13.29,13.89,13.26,13.87,34451900
13.5,14.165,13.37,13.56,41998200
13.45,13.92,12.97,13.13,41831600
13.1,13.795,12.98,13.26,40617900
13.52,14.185,13.41,14.17,48523700
13.91,14.26,13.66,13.97,58624400
12.39,12.7,11.7,11.77,151385400
11.92,12.01,10.57,11.02,137808100
10.7,11.185,10.3,10.48,104501500
10.83,11.26,10.4,10.43,93964500
9.75,11.87,9.74,11.83,118793000
11.59,11.89,11.0,11.47,75433700
11.96,12.18,11.39,11.85,75390500
11.99,12.52,11.71,12.18,64867200
12.21,12.21,11.42,12.06,56698300
12.01,12.055,11.235,11.34,46172000
11.7,11.77,10.74,10.96,43502200
11.43,11.75,11.1,11.11,63070600
10.93,11.39,10.719,11.04,49279600
11.41,12.02,11.27,11.65,43591400
11.38,11.97,11.32,11.87,52295400
11.86,12.005,11.37,11.39,37817400
11.17,11.41,10.41,10.5,49762600
10.47,10.85,10.27,10.77,40451200
10.95,11.82,10.94,11.79,62746600
11.72,12.37,11.66,12.32,43948900
12.28,13.02,12.215,12.82,59125500
12.72,13.05,12.42,12.59,39410900
12.52,13.48,12.52,13.27,46210700
13.16,13.55,13.02,13.18,33699400
13.25,13.42,12.83,13.39,29535300
13.36,13.395,12.71,12.97,24796900
13.01,13.44,12.855,13.42,27152000
13.65,14.28,13.35,14.2,46433700
14.04,14.36,13.74,13.88,32164000
13.9,14.06,13.63,13.73,22840000
13.77,14.065,13.5,13.83,23831600
14.03,14.66,14.02,14.63,40066800
14.61,14.86,13.795,13.89,37677300
13.52,13.54,12.85,13.0,40647700
12.95,13.34,12.48,12.84,34727400
12.7,13.05,12.57,12.7,24962500
12.45,12.82,12.13,12.66,26095800
12.88,13.2,12.425,12.46,26226500
12.35,12.94,12.231,12.9,21152900
12.92,12.92,12.41,12.42,23284100
12.35,12.415,11.88,12.15,25395600
12.08,13.02,12.07,12.91,31753900
13.08,13.17,12.74,12.79,31528600
13.02,13.33,12.225,12.33,32009000
12.33,12.73,11.86,11.96,30386100
11.83,12.16,11.68,12.11,31727600
11.94,12.05,11.1,11.12,38666500
11.01,11.195,10.53,10.56,54508500
10.69,11.045,10.37,10.95,40074500
10.9,11.23,10.36,10.4,30937500
