Open,High,Low,Close,Volume
28.01,28.81,28.01,28.46,4882400
29.43,30.27,29.17,29.93,8469400
30.47,31.17,29.7,30.43,10569700
27.31,27.9,24.7,25.12,56122100
25.29,25.29,24.36,24.39,15930700
24.95,25.24,24.48,24.52,14894700
24.99,26.08,24.75,25.83,13886800
26.0,26.47,25.0,25.26,12704300
25.17,25.3,24.05,24.61,10836200
24.43,25.07,24.38,24.83,5450900
24.73,24.88,23.17,23.5,10020700
23.3,23.66,23.01,23.34,5595900
23.66,23.91,23.1,23.36,4476500
23.37,24.0,23.2,23.61,5092400
23.76,23.95,23.09,23.32,5292900
23.79,25.09,23.72,24.8,10945300
25.53,25.66,24.01,24.67,7601700
24.59,24.59,24.11,24.46,4058800
24.75,25.03,23.19,23.51,12492900
23.11,23.17,22.36,22.6,14264500
22.73,22.8,21.3,21.6,19112200
21.79,22.43,21.41,21.83,10407400
21.86,22.5,21.5,22.35,5875200
22.43,23.3,21.88,21.95,8009100
21.84,22.09,21.61,21.67,3895600
22.06,22.36,21.4,21.69,7697700
21.9,22.17,21.51,22.01,6901700
22.35,23.1,22.1,22.5,7201600
23.1,23.56,22.74,23.02,5907300
23.13,23.76,23.05,23.55,5208400
23.46,24.11,23.26,24.0,5323700
24.28,24.83,24.2,24.43,6073700
24.3,24.37,23.36,23.94,6964600
23.62,23.62,22.81,23.07,7138200
22.85,23.0,21.76,21.92,13269600
22.0,22.4,22.0,22.28,4429200
22.01,22.47,21.93,22.23,4645300
22.18,23.62,21.6,23.3,7309900
23.27,23.64,22.89,23.13,4471900
23.45,24.04,23.3,23.96,4956900
22.5,23.78,22.47,23.74,6698400
23.4,23.74,22.47,22.82,5378200
22.77,23.48,22.31,23.19,5858400
22.63,23.33,21.61,23.13,6359700
22.6,22.98,21.8,22.4,7946100
21.51,21.51,20.58,20.75,13826000
21.26,22.2,20.98,22.15,8332500
22.21,22.26,21.6,22.03,6364600
22.2,23.23,22.05,22.86,9291000
22.2,23.4,22.13,22.7,10572600
