Open,High,Low,Close,Volume
14.95,15.4,14.95,15.14,91300
15.14,16.48,15.07,15.78,316600
15.67,16.35,15.67,16.2,160300
16.18,17.13,16.18,17.0,228800
16.91,17.26,16.2,16.8,326100
17.12,17.92,16.9,17.41,297800
17.44,17.5,16.9,17.41,96800
17.5,17.75,17.24,17.38,211000
17.18,17.32,16.44,16.6,99200
16.56,17.35,16.56,17.1,227600
17.31,17.38,16.75,16.98,144100
17.75,21.25,17.58,21.11,1373200
21.0,21.05,18.99,20.0,851100
19.73,20.8,19.0,20.1,544900
20.29,20.7,19.75,20.52,408500
20.39,21.99,20.39,21.71,440500
21.52,22.23,21.11,22.2,212200
21.79,21.87,20.56,21.15,193400
21.03,21.4,20.61,20.96,102100
20.58,21.43,19.76,21.27,97000
21.14,22.07,21.06,21.8,204500
21.93,23.62,21.78,22.59,199800
22.67,23.53,22.35,23.25,93500
23.12,23.12,22.45,22.65,100000
22.87,23.21,20.91,21.2,146400
21.28,21.28,19.97,20.26,135000
20.14,21.11,19.8,20.18,138800
20.25,20.71,19.77,20.39,78200
20.56,20.92,20.01,20.04,107500
19.63,20.6,19.08,20.17,135900
20.24,21.27,19.38,19.78,194300
20.0,20.18,19.38,19.84,76700
19.88,20.24,19.76,20.05,124700
20.1,20.82,19.85,20.09,176400
20.01,21.23,19.93,20.64,189000
20.61,21.19,20.35,20.73,97800
20.66,22.1,20.4,21.9,239000
21.76,21.76,20.64,21.05,171000
20.98,20.98,20.1,20.46,113900
20.38,20.86,20.0,20.12,203000
19.88,19.88,17.6,18.08,351200
17.92,18.0,17.28,17.75,167500
17.93,17.93,17.43,17.62,146800
17.49,17.72,17.13,17.36,36000
17.13,17.15,15.5,16.02,175800
15.96,15.96,14.93,15.31,209000
15.87,16.64,15.6,15.65,239800
15.72,15.74,15.05,15.06,105100
15.2,15.75,14.84,14.97,177200
15.06,16.27,14.72,15.67,174500
15.64,15.8,15.14,15.69,192000
15.58,16.67,15.57,16.6,168000
16.65,16.98,16.25,16.95,97900
16.93,17.16,16.77,16.99,112600
17.13,17.23,17.0,17.2,168100
16.97,17.33,16.89,17.3,78800
17.28,17.58,17.23,17.5,100000
17.16,17.16,16.38,16.52,75500
16.59,16.59,16.28,16.42,33500
16.37,16.98,16.32,16.75,155500
16.86,17.43,16.59,16.6,433200
16.88,16.88,16.38,16.51,35000
16.44,16.86,16.21,16.78,11700
16.89,17.42,16.83,16.88,61300
16.94,17.44,16.8,17.37,50400
17.41,18.14,17.2,17.97,93300
17.88,18.06,17.74,17.79,40700
17.84,17.86,17.57,17.61,76000
17.67,17.95,17.61,17.62,35000
17.76,17.76,17.55,17.56,40800
17.6,17.89,17.38,17.88,139500
18.13,18.27,17.79,17.87,68000
17.98,18.26,17.8,17.99,168500
17.8,17.85,17.27,17.37,44900
17.36,17.5,16.65,16.93,47800
17.01,17.15,16.85,17.0,108000
16.94,16.96,16.36,16.6,41700
17.02,17.14,16.73,16.99,76800
16.99,17.38,16.94,17.2,64700
17.26,17.29,16.94,17.06,10100
17.02,17.14,16.93,16.99,51700
16.86,16.86,15.96,16.12,11600
16.16,16.16,15.43,15.69,19100
15.71,16.06,15.41,15.45,28300
15.47,15.62,15.08,15.24,23600
15.08,15.08,13.94,14.4,157900
14.47,15.59,14.47,15.41,67400
15.31,16.22,15.27,16.17,35800
16.08,16.09,15.56,15.78,33500
15.58,16.1,15.58,15.88,18400
15.89,15.89,15.54,15.63,14600
15.47,15.47,15.05,15.26,17700
14.9,14.92,14.2,14.75,45500
14.86,14.86,14.1,14.12,50800
14.26,14.37,14.1,14.12,18800
14.32,14.5,13.95,14.47,63700
14.54,15.68,14.54,15.32,121400
15.25,16.37,15.18,16.17,130100
16.07,16.08,15.58,16.04,86400
16.1,16.1,15.68,15.8,23500
