Open,High,Low,Close,Volume
89.55,89.59,80.11,80.18,20964300
79.35,81.74,77.42,79.05,18642200
80.44,82.45,76.755,77.21,23959200
78.235,80.109,75.17,76.16,16892600
77.66,80.91,75.08,75.39,16838300
74.19,74.92,68.33,68.93,26043700
65.41,71.32,60.58,70.74,33280600
67.96,69.952,64.66,65.29,20959500
68.096,70.13,61.19,63.02,25741900
63.99,64.53,56.77,57.06,33439600
57.36,59.9,53.63,58.18,30682200
60.66,66.38,60.04,65.86,27942900
66.31,69.25,63.3,67.75,33738200
67.325,68.759,64.18,66.17,17257900
62.3,64.97,59.63,60.67,32647600
