Open,High,Low,Close,Volume
8.10075,8.47851,8.01681,8.22667,2790000
8.24766,8.35259,8.1847,8.26864,1816800
8.31062,8.31062,8.10075,8.10075,1269600
8.10075,8.14272,7.84891,7.97483,1321200
7.97483,8.14272,7.89089,8.10075,615600
8.22666,8.26864,8.10074,8.18469,1020800
8.1847,8.39456,8.14272,8.26864,2575200
8.22667,8.43653,8.1847,8.39456,1480800
8.43653,8.73034,8.39456,8.52047,3579200
8.47851,8.60442,8.43653,8.49949,2376800
8.52048,8.6464,8.47851,8.60443,2368400
8.60442,8.68837,8.52047,8.68837,2600000
8.60442,8.68836,8.52047,8.52047,1550400
8.56245,8.77232,8.47851,8.75133,2115600
8.77231,8.85625,8.77231,8.85625,750800
8.89823,9.15007,8.89823,9.10809,2136400
9.1081,9.23402,9.02415,9.06613,1675200
9.06612,9.06612,8.94021,9.02415,1300000
8.98218,9.06612,8.81429,8.89823,1672800
8.89823,8.9402,8.77231,8.7933,1130400
8.81429,8.85626,8.60442,8.6464,836400
8.73034,8.73034,8.4785,8.4785,479200
8.47851,8.52048,8.22667,8.22667,1243600
8.31061,8.35258,8.10074,8.18469,2253200
8.18469,8.18469,7.93285,8.18469,2708400
8.14272,8.43653,8.10075,8.26864,1018000
8.31062,8.35259,8.14272,8.26864,700800
8.26864,8.26864,8.05878,8.05878,1374800
8.22667,8.35259,8.14272,8.26864,588000
8.35258,8.35258,8.18469,8.20568,582400
8.1847,8.31062,8.1847,8.26864,586800
8.22666,8.31061,8.18469,8.18469,1272800
8.1847,8.1847,8.05878,8.05878,1096400
8.10075,8.14272,7.97483,8.03779,1284000
8.01681,8.14272,8.01681,8.05878,1000400
8.1847,8.1847,7.80694,7.89089,1084800
7.93286,7.97483,7.80694,7.84891,1579200
7.93286,7.93286,7.68102,7.89089,880400
7.89089,8.05878,7.80694,7.89089,1110000
7.76497,7.80694,7.68102,7.68102,666400
6.54775,7.03044,5.79224,5.87619,21799200
6.00211,6.04408,5.2466,5.41449,20746000
5.54041,6.00211,5.49844,5.91816,11365200
6.04408,6.12803,5.79224,5.87619,5891600
5.79224,5.96014,5.75027,5.79224,6052800
5.79224,5.87619,5.7083,5.79224,1914000
5.87619,5.87619,5.75027,5.75027,2404400
5.75027,5.83422,5.68731,5.75027,6010800
5.7083,5.79224,5.37252,5.54041,7622800
5.62436,5.7083,5.49844,5.58238,2473600
