Open,High,Low,Close,Volume
26.65,26.995,26.128,26.88,2078800
27.34,28.71,27.32,28.14,4334000
28.55,28.69,26.86,27.54,5156300
31.0,34.74,29.63,34.59,16759800
34.2,35.69,32.8,34.3,7735900
34.11,35.24,33.5,34.67,6876900
35.15,35.99,34.23,34.62,4790300
34.42,34.85,33.63,33.73,2750400
33.4,34.69,32.27,33.67,4698200
33.35,34.43,33.1,33.91,3165600
33.76,35.18,33.17,34.18,4589500
34.29,35.98,33.95,35.92,4827500
36.7,36.91,34.87,35.64,5452100
35.73,35.8,32.61,33.99,9633900
33.77,35.06,33.7,34.29,2983300
34.45,34.93,33.87,34.18,3139200
33.55,34.25,32.74,33.12,3342800
33.64,33.9,32.75,33.79,2695600
33.86,35.04,33.66,34.01,2660500
34.26,35.575,34.15,34.82,2671200
34.89,35.7,33.212,33.46,4052800
33.4,34.28,33.1,33.87,2046800
33.68,33.99,33.01,33.38,2252700
32.75,32.975,31.102,31.38,3477200
30.78,31.1,30.3,30.32,2601600
30.08,30.93,29.8,30.17,1784800
29.89,30.84,29.8,30.5,1472800
30.77,32.26,30.7,32.23,2794600
31.84,32.99,31.84,32.95,2607700
33.0,33.238,32.2,32.86,2365000
32.97,33.63,32.02,33.25,2436800
33.38,33.79,32.78,33.17,1706500
32.83,34.368,32.81,33.63,3432500
32.98,33.28,31.33,32.36,3380700
33.02,33.17,31.46,31.85,2565500
32.11,32.39,31.49,32.26,1805600
33.18,35.18,32.68,33.3,4285400
33.56,33.6,31.96,32.57,3693300
33.03,33.26,31.24,31.26,2517200
31.68,31.94,30.65,31.07,2955600
30.94,32.11,30.785,30.85,2348000
31.04,32.32,30.89,32.29,3221700
32.34,32.6,31.5,32.09,3052700
31.6,32.378,30.81,31.4,2888800
31.676,31.94,30.91,31.63,1726700
31.25,32.98,31.16,32.51,3203300
32.65,33.33,31.51,31.77,2342900
32.0,32.05,30.71,31.72,2264700
31.75,32.93,31.2,32.41,2272200
32.68,34.827,32.68,34.31,3977000
