Open,High,Low,Close,Volume
50.99,51.53,50.405,50.5,2466100
50.89,50.89,49.44,50.49,1933300
50.43,51.07,50.1,50.27,1786200
50.11,50.208,48.31,49.5,1951900
49.89,50.084,48.83,49.17,1280200
49.24,50.66,49.04,50.0,1520000
49.68,50.79,48.91,49.14,1641800
48.19,48.47,46.46,46.64,3528100
46.5,47.29,46.06,47.27,2041300
48.09,48.695,47.78,48.27,1577000
48.33,48.798,47.66,47.69,1689200
48.25,48.25,47.46,47.59,1304700
47.65,48.93,47.302,48.58,1275500
48.51,49.77,48.37,49.35,1821800
48.64,49.11,47.67,47.79,1901400
