Open,High,Low,Close,Volume
0.0035,0.004,0.003,0.003,621057
0.00325,0.0035,0.003,0.003,10935
0.0035,0.0035,0.00325,0.00325,3419
0.004,0.006,0.003,0.004,179973
0.0027,0.005,0.0027,0.005,13795
0.004,0.004,0.0027,0.0027,305776
0.0021,0.0075,0.0021,0.0075,42986
0.0075,0.0075,0.003,0.005,219774
0.0035,0.0045,0.0035,0.0045,2448
0.0079,0.0079,0.003,0.004,26298
0.0035,0.005,0.0035,0.0045,125161
0.0075,0.0075,0.003,0.005,379134
0.003,0.0035,0.003,0.0035,3747
0.003,0.004,0.003,0.004,852
0.0031,0.0075,0.0031,0.0075,8000
0.0033,0.0075,0.0033,0.0055,23774
0.0033,0.0075,0.0033,0.0075,46142
0.0075,0.0075,0.0044,0.0044,24027
0.0021,0.0051,0.0021,0.0051,1774
0.0033,0.0075,0.0033,0.005,49028
0.0075,0.0075,0.005,0.005,173726
0.01,0.01,0.0034,0.0042,198132
0.004,0.004,0.004,0.004,3758
0.0026,0.0075,0.0026,0.0064,96021
0.0063,0.0063,0.0036,0.0038,4997
0.0038,0.0063,0.0037,0.0037,21814
0.0034,0.0047,0.0034,0.0047,2049
0.005,0.005,0.005,0.005,51306
0.006,0.0063,0.006,0.006,3089
0.0034,0.004,0.0034,0.004,4356
0.0063,0.0063,0.005,0.0063,53988
0.004,0.0074,0.004,0.0065,303225
0.00695,0.00695,0.0065,0.0065,5191
0.0034,0.0034,0.0034,0.0034,1123
0.0034,0.004,0.0034,0.004,26780
0.004,0.005,0.004,0.005,16065
0.005,0.005,0.005,0.005,4321
0.004,0.0065,0.004,0.0065,44941
0.004,0.0075,0.004,0.0075,50532
0.005,0.0074,0.0045,0.0074,106587
0.0034,0.0065,0.0034,0.005,18984
0.0064,0.007,0.0045,0.0045,50373
0.0045,0.006,0.0045,0.005,89409
0.004,0.004,0.004,0.004,163
0.0045,0.0046,0.0045,0.0046,11036
0.006,0.007,0.005,0.005,82988
0.005,0.006,0.005,0.006,4102
0.0065,0.007,0.004,0.005,37529
0.0069,0.0095,0.004,0.0046,73607
0.0046,0.0065,0.0046,0.0065,8117
0.0066,0.0068,0.0065,0.0065,135001
0.0066,0.007,0.0066,0.007,2062
0.0065,0.007,0.0065,0.0065,7212
0.0065,0.0075,0.0065,0.0075,284629
0.0095,0.0095,0.0075,0.0075,16238
0.0085,0.0095,0.0075,0.0085,6252
0.008,0.009,0.008,0.00825,129539
0.006,0.008,0.006,0.008,3416
0.0041,0.0052,0.0041,0.0052,52166
0.0053,0.0062,0.0053,0.0062,4260
0.0042,0.0089,0.0042,0.0063,29750
0.0062,0.0089,0.0062,0.0089,55575
0.0089,0.0089,0.0055,0.0065,217576
0.0077,0.0077,0.0066,0.0066,55340
0.0055,0.0077,0.0055,0.0055,22682
0.00685,0.00685,0.0067,0.0067,1530
0.0067,0.0067,0.0067,0.0067,2000
0.0065,0.0065,0.0055,0.0055,2548
0.0045,0.0055,0.0045,0.0055,44522
0.0055,0.0055,0.0045,0.00525,19779
0.0055,0.0086,0.0055,0.0077,242636
0.005,0.0095,0.005,0.0065,54885
0.004,0.005,0.004,0.005,1884
0.007,0.007,0.0045,0.0045,8177
0.005,0.005,0.005,0.005,125
0.005,0.005,0.005,0.005,518
0.005,0.005,0.0045,0.0045,188384
0.0042,0.0046,0.0042,0.0045,3930
0.0046,0.0046,0.0045,0.0045,131302
0.0055,0.0055,0.0055,0.0055,318
0.0046,0.0055,0.0045,0.0055,6518
0.0045,0.0094,0.0045,0.0083,34793
0.0094,0.0094,0.005,0.006,6875
0.004,0.0093,0.004,0.0093,26830
0.0042,0.0093,0.0042,0.0055,88065
0.005,0.006,0.005,0.005,6706
0.0055,0.0055,0.005,0.005,473
0.0046,0.006,0.0046,0.005,15029
0.007,0.01,0.0047,0.0047,24577
0.005,0.005,0.005,0.005,750
0.005,0.005,0.005,0.005,381
0.005,0.005,0.005,0.005,7299
0.0065,0.0065,0.0046,0.0046,708865
0.0041,0.0075,0.0041,0.0046,8755
0.0046,0.0046,0.0046,0.0046,32361
0.0046,0.0046,0.0046,0.0046,1329
0.0046,0.0046,0.0046,0.0046,115
0.005,0.005,0.005,0.005,625
0.005,0.006,0.005,0.005,7871
0.006,0.006,0.005,0.005,4362
